irr,temp,iph,isat,rsh,a
100.0,20.0,1.0150000000000001,4.373637783420605e-11,62.81509433962251,0.026265348538207833
100.0,30.0,1.0450000000000002,2.3496951637910264e-10,62.81509433962251,0.027161318128458827
100.0,40.0,1.075,1.137415468241124e-09,62.81509433962251,0.028057287718709814
100.0,50.0,1.1050000000000002,5.008699850533254e-09,62.81509433962251,0.02895325730896081
100.0,60.0,1.1350000000000002,2.0234462840538917e-08,62.81509433962251,0.029849226899211802
100.0,70.0,1.165,7.555391940968548e-08,62.81509433962251,0.030745196489462792
100.0,80.0,1.195,2.6247870439610656e-07,62.81509433962251,0.03164116607971379
200.0,20.0,2.0300000000000002,4.373637783420605e-11,31.407547169543577,0.026265348538207833
200.0,30.0,2.0900000000000003,2.3496951637910264e-10,31.407547170299413,0.027161318128458827
200.0,40.0,2.15,1.137415468241124e-09,31.407547171195937,0.028057287718709814
200.0,50.0,2.2100000000000004,5.008699850533254e-09,31.407547171782447,0.02895325730896081
200.0,60.0,2.2700000000000005,2.0234462840538917e-08,31.40754717139645,0.029849226899211802
200.0,70.0,2.33,7.555391940968548e-08,31.407547170832427,0.030745196489462792
200.0,80.0,2.39,2.6247870439610656e-07,31.407547170149943,0.03164116607971379
300.0,20.0,3.045,4.373637783420605e-11,20.938364780142066,0.026265348538207833
300.0,30.0,3.1350000000000002,2.3496951637910264e-10,20.938364781948607,0.027161318128458827
300.0,40.0,3.225,1.137415468241124e-09,20.938364780137714,0.028057287718709814
300.0,50.0,3.315,5.008699850533254e-09,20.93836477962819,0.02895325730896081
300.0,60.0,3.4050000000000002,2.0234462840538917e-08,20.938364779651696,0.029849226899211802
300.0,70.0,3.495,7.555391940968548e-08,20.938364780527465,0.030745196489462792
300.0,80.0,3.5850000000000004,2.6247870439610656e-07,20.93836478172959,0.03164116607971379
400.0,20.0,4.0600000000000005,4.373637783420605e-11,15.703773585915565,0.026265348538207833
400.0,30.0,4.180000000000001,2.3496951637910264e-10,15.703773585069538,0.027161318128458827
400.0,40.0,4.3,1.137415468241124e-09,15.703773585523168,0.028057287718709814
400.0,50.0,4.420000000000001,5.008699850533254e-09,15.703773585669213,0.02895325730896081
400.0,60.0,4.540000000000001,2.0234462840538917e-08,15.7037735856946,0.029849226899211802
400.0,70.0,4.66,7.555391940968548e-08,15.703773585496103,0.030745196489462792
400.0,80.0,4.78,2.6247870439610656e-07,15.703773585148571,0.03164116607971379
500.0,20.0,5.075,4.373637783420605e-11,12.563018868033435,0.026265348538207833
500.0,30.0,5.2250000000000005,2.3496951637910264e-10,12.563018868945756,0.027161318128458827
500.0,40.0,5.375,1.137415468241124e-09,12.563018867936211,0.028057287718709814
500.0,50.0,5.525,5.008699850533254e-09,12.563018868018744,0.02895325730896081
500.0,60.0,5.675000000000001,2.0234462840538917e-08,12.56301886798859,0.029849226899211802
500.0,70.0,5.825,7.555391940968548e-08,12.56301886793463,0.030745196489462792
500.0,80.0,5.9750000000000005,2.6247870439610656e-07,12.56301886785827,0.03164116607971379
600.0,20.0,6.09,4.373637783420605e-11,10.469182390295929,0.026265348538207833
600.0,30.0,6.2700000000000005,2.3496951637910264e-10,10.469182390390266,0.027161318128458827
600.0,40.0,6.45,1.137415468241124e-09,10.469182390814325,0.028057287718709814
600.0,50.0,6.63,5.008699850533254e-09,10.469182389865107,0.02895325730896081
600.0,60.0,6.8100000000000005,2.0234462840538917e-08,10.469182389875433,0.029849226899211802
600.0,70.0,6.99,7.555391940968548e-08,10.469182390234684,0.030745196489462792
600.0,80.0,7.170000000000001,2.6247870439610656e-07,10.469182390730387,0.03164116607971379
700.0,20.0,7.1049999999999995,4.373637783420605e-11,8.973584906513302,0.026265348538207833
700.0,30.0,7.315,2.3496951637910264e-10,8.973584905778853,0.027161318128458827
700.0,40.0,7.5249999999999995,1.137415468241124e-09,8.973584906154375,0.028057287718709814
700.0,50.0,7.735,5.008699850533254e-09,8.973584906331622,0.02895325730896081
700.0,60.0,7.945,2.0234462840538917e-08,8.973584906317518,0.029849226899211802
700.0,70.0,8.155,7.555391940968548e-08,8.97358490621841,0.030745196489462792
700.0,80.0,8.365,2.6247870439610656e-07,8.97358490603888,0.03164116607971379
800.0,20.0,8.120000000000001,4.373637783420605e-11,7.851886792677567,0.026265348538207833
800.0,30.0,8.360000000000001,2.3496951637910264e-10,7.851886792777781,0.027161318128458827
800.0,40.0,8.6,1.137415468241124e-09,7.8518867926382905,0.028057287718709814
800.0,50.0,8.840000000000002,5.008699850533254e-09,7.85188679278584,0.02895325730896081
800.0,60.0,9.080000000000002,2.0234462840538917e-08,7.851886792785203,0.029849226899211802
800.0,70.0,9.32,7.555391940968548e-08,7.851886792725648,0.030745196489462792
800.0,80.0,9.56,2.6247870439610656e-07,7.8518867926113645,0.03164116607971379
900.0,20.0,9.135,4.373637783420605e-11,6.979454926484079,0.026265348538207833
900.0,30.0,9.405000000000001,2.3496951637910264e-10,6.979454927002577,0.027161318128458827
900.0,40.0,9.675,1.137415468241124e-09,6.979454926713705,0.028057287718709814
900.0,50.0,9.945,5.008699850533254e-09,6.979454926772717,0.02895325730896081
900.0,60.0,10.215000000000002,2.0234462840538917e-08,6.979454926784122,0.029849226899211802
900.0,70.0,10.485000000000001,7.555391940968548e-08,6.979454926753043,0.030745196489462792
900.0,80.0,10.755,2.6247870439610656e-07,6.979454926702235,0.03164116607971379
1000.0,20.0,10.15,4.373637783420605e-11,6.281509433853036,0.026265348538207833
1000.0,30.0,10.450000000000001,2.3496951637910264e-10,6.281509434202908,0.027161318128458827
1000.0,40.0,10.75,1.137415468241124e-09,6.281509433980179,0.028057287718709814
1000.0,50.0,11.05,5.008699850533254e-09,6.281509434016961,0.02895325730896081
1000.0,60.0,11.350000000000001,2.0234462840538917e-08,6.281509434063628,0.029849226899211802
1000.0,70.0,11.65,7.555391940968548e-08,6.281509434026529,0.030745196489462792
1000.0,80.0,11.950000000000001,2.6247870439610656e-07,6.281509433979214,0.03164116607971379
1100.0,20.0,11.165000000000001,4.373637783420605e-11,5.710463121597843,0.026265348538207833
1100.0,30.0,11.495000000000003,2.3496951637910264e-10,5.710463121931441,0.027161318128458827
1100.0,40.0,11.825000000000001,1.137415468241124e-09,5.710463122202575,0.028057287718709814
1100.0,50.0,12.155000000000001,5.008699850533254e-09,5.710463121807299,0.02895325730896081
1100.0,60.0,12.485000000000003,2.0234462840538917e-08,5.710463121828078,0.029849226899211802
1100.0,70.0,12.815000000000001,7.555391940968548e-08,5.710463121814622,0.030745196489462792
1100.0,80.0,13.145000000000001,2.6247870439610656e-07,5.710463121950724,0.03164116607971379
